Model,Price,Discount,Link
Xiaomi 12 12/256GB (пурпурный),89990₽,-8 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-12-256gb-purpurnyy/
Xiaomi 12 Pro 12/256GB (серый),114990₽,-20 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-pro-12-256gb-seryy/
Xiaomi 12 Pro 12/256GB (синий),114990₽,-20 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-pro-12-256gb-siniy/
Xiaomi 12 Pro 12/256GB (пурпурный),114990₽,-20 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-pro-12-256gb-purpurnyy/
POCO F4 8/256GB (серебристый),33990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-f4-8-256gb-serebristyy/
POCO F4 8/256GB (черный),33990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-f4-8-256gb-chernyy/
POCO F4 8/256GB (зеленый),33990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-f4-8-256gb-zelenyy/
Xiaomi 12X 8/128GB (синий),64990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/12x-8-128gb-siniy/
Xiaomi Redmi 10C 4/64GB (синий),14990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-10c-4-64gb-siniy/
Xiaomi Redmi 10C 4/64GB (зеленый),14990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-10c-4-64gb-zelenyy/
Xiaomi Redmi 10C 4/128GB (синий),16490₽,-1 500 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-10c-4-128gb-siniy/
Xiaomi Redmi 10C 4/128GB (зеленый),16490₽,-1 500 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-10c-4-128gb-zelenyy/
POCO F3 6/128GB (черный),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/poco-f3-6-128gb-black/
Xiaomi 12 Lite 8/128GB (зеленый),40990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-lite-8-128gb-zelenyy/
Xiaomi 12 Lite 8/128GB (розовый),40990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-lite-8-128gb-rozovyy/
Xiaomi 12 Lite 8/128GB (черный),40990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-lite-8-128gb-chernyy/
Xiaomi 12 12/256GB (синий),89990₽,-8 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-12-256gb-siniy/
Xiaomi 12 12/256GB (серый),89990₽,-8 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12-12-256gb-seryy/
Xiaomi Redmi 9A 2/32GB (серый),7990₽,-500 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9a-2-32gb-grey/
POCO F3 6/128GB (серебристый),29990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/f3-6-128gb-serebristyy/
Xiaomi 11T 8/128GB (синий),39990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/11-t-8-128-gb-siniy/
Xiaomi Redmi 9A 2/32GB (голубой),7990₽,-500 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-9a-2-32gb-goluboy/
Xiaomi Redmi Note 11 4/64GB (синий),18990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-4-64gb-siniy/
Xiaomi Redmi Note 11 4/64GB (серый),18990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-4-64gb-seryy/
Xiaomi Redmi 9C NFC 2/32GB (серый),8990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-2-32gb-grey/
Xiaomi Redmi 9C NFC 4/128GB (оранжевый),11990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-nfc-4-128gb-oranzhevyy/
Xiaomi 12X 8/128GB (серый),64990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-12x-8-128gb-seryy/
Xiaomi Redmi 10C 4/128GB (серый),16490₽,-1 500 ₽,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-10c-4-128gb-seryy/
Xiaomi Redmi Note 11 4/128GB (голубой),19990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-4-128gb-goluboy/
Xiaomi Redmi Note 11 4/128GB (синий),19990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-4-128gb-siniy/
Xiaomi Redmi Note 11 4/128GB (серый),19990₽,-2 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-4-128gb-seryy/
Xiaomi Redmi 10 4/64GB (белый),16990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-10-4-64gb-belyy/
Xiaomi Redmi 10 4/64GB (синий),16990₽,-4 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-10-4-64gb-siniy/
Xiaomi Redmi 10 4/128GB (серый),17990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-10-4-128gb-seryy/
Xiaomi Redmi 10 4/128GB (белый),17990₽,-5 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-10-4-128gb-belyy/
Xiaomi Redmi Note 11S 6/64GB (синий),24990₽,-1 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11s-6-64gb-siniy/
Xiaomi Redmi Note 11S 6/64GB (серый),24990₽,-1 000 ₽,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11s-6-64gb-seryy/
Xiaomi Redmi Note 11 Pro 8/128GB (синий),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-pro-8-128gb-siniy/
Xiaomi Redmi Note 11 Pro 8/128GB (серый),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11-pro-8-128gb-seryy/
